epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage,val_iou_intersecting_conjugate
40,0.33657,0.33657,0.00000,0.00000,1.00,0.31624,0.4327,0.6040,0.4850,0.8005,1.00e-04,39,0.4794,0.4545,0.4964,0.5058,0.1473,0.7513
41,0.33084,0.33084,0.00000,0.00000,1.00,0.30747,0.4420,0.6130,0.5035,0.7833,1.00e-04,39,0.5152,0.4771,0.5611,0.5142,0.1460,0.7414
42,0.32873,0.32873,0.00000,0.00000,1.00,0.32112,0.4167,0.5882,0.4776,0.7655,1.00e-04,39,0.4270,0.4410,0.4958,0.4897,0.1479,0.7438
43,0.32698,0.32698,0.00000,0.00000,1.00,0.30392,0.4352,0.6065,0.4959,0.7804,1.00e-04,39,0.4988,0.4680,0.5625,0.5348,0.1409,0.7562
44,0.31879,0.31879,0.00000,0.00000,1.00,0.30863,0.4437,0.6147,0.5169,0.7580,1.00e-04,39,0.4741,0.4662,0.5185,0.4744,0.1536,0.7464
45,0.31772,0.31772,0.00000,0.00000,1.00,0.30084,0.4547,0.6252,0.5352,0.7515,1.00e-04,39,0.4797,0.4787,0.5599,0.5196,0.1491,0.7638
46,0.31560,0.31560,0.00000,0.00000,1.00,0.29460,0.4522,0.6228,0.5243,0.7668,1.00e-04,39,0.5143,0.4759,0.5892,0.5355,0.1413,0.7558
47,0.31141,0.31141,0.00000,0.00000,1.00,0.29381,0.4505,0.6212,0.5228,0.7653,1.00e-04,39,0.5055,0.4866,0.5452,0.5409,0.1456,0.7517
48,0.31197,0.31197,0.00000,0.00000,1.00,0.29107,0.4623,0.6323,0.5457,0.7515,1.00e-04,39,0.5543,0.4677,0.5761,0.5361,0.1359,0.7600
49,0.30636,0.30636,0.00000,0.00000,1.00,0.28565,0.4527,0.6233,0.5295,0.7574,1.00e-04,39,0.5439,0.4811,0.5750,0.5408,0.1460,0.7520
50,0.30377,0.30377,0.00000,0.00000,1.00,0.28769,0.4583,0.6285,0.5349,0.7619,1.00e-04,39,0.5192,0.4656,0.5637,0.5333,0.1503,0.7586
51,0.30319,0.30319,0.00000,0.00000,1.00,0.28184,0.4587,0.6290,0.5319,0.7694,1.00e-04,39,0.5301,0.4643,0.5851,0.5335,0.1560,0.7528
52,0.30126,0.30126,0.00000,0.00000,1.00,0.27869,0.4558,0.6262,0.5338,0.7572,1.00e-04,39,0.5228,0.5032,0.5828,0.5472,0.1621,0.7144
53,0.29942,0.29942,0.00000,0.00000,1.00,0.28114,0.4637,0.6336,0.5481,0.7507,1.00e-04,39,0.5261,0.4804,0.5715,0.5358,0.1470,0.7484
54,0.29790,0.29790,0.00000,0.00000,1.00,0.27900,0.4677,0.6373,0.5378,0.7819,1.00e-04,39,0.5183,0.5008,0.5382,0.5414,0.1549,0.7535
55,0.29532,0.29532,0.00000,0.00000,1.00,0.27305,0.4655,0.6353,0.5391,0.7733,1.00e-04,39,0.5265,0.4919,0.5770,0.5426,0.1632,0.7689
56,0.29298,0.29298,0.00000,0.00000,1.00,0.26876,0.4723,0.6416,0.5562,0.7580,1.00e-04,39,0.5583,0.5168,0.5928,0.5639,0.1528,0.7524
57,0.29039,0.29039,0.00000,0.00000,1.00,0.28009,0.4503,0.6210,0.5161,0.7794,1.00e-04,39,0.4900,0.4745,0.5275,0.5209,0.1607,0.7515
58,0.29143,0.29143,0.00000,0.00000,1.00,0.26571,0.4658,0.6355,0.5500,0.7526,1.00e-04,39,0.5509,0.5204,0.6075,0.5622,0.1614,0.7201
59,0.28492,0.28492,0.00000,0.00000,1.00,0.27336,0.4770,0.6459,0.5735,0.7393,1.00e-04,39,0.5251,0.4565,0.5854,0.5204,0.1598,0.7693
60,0.28317,0.28317,0.00000,0.00000,1.00,0.26645,0.4695,0.6390,0.5490,0.7642,1.00e-04,39,0.5423,0.4845,0.5747,0.5385,0.1675,0.7694
61,0.28670,0.28670,0.00000,0.00000,1.00,0.26662,0.4704,0.6399,0.5470,0.7707,1.00e-04,39,0.5396,0.4769,0.5833,0.5409,0.1647,0.7568
62,0.28480,0.28480,0.00000,0.00000,1.00,0.26166,0.4773,0.6462,0.5572,0.7690,1.00e-04,39,0.5538,0.4994,0.6002,0.5472,0.1609,0.7706
63,0.28033,0.28033,0.00000,0.00000,1.00,0.25818,0.4848,0.6530,0.5649,0.7735,1.00e-04,39,0.5616,0.5145,0.5962,0.5581,0.1652,0.7633
64,0.27920,0.27920,0.00000,0.00000,1.00,0.26630,0.4867,0.6548,0.5913,0.7335,1.00e-04,39,0.5515,0.5177,0.5931,0.5296,0.1436,0.7733
65,0.27756,0.27756,0.00000,0.00000,1.00,0.25847,0.4803,0.6489,0.5568,0.7776,1.00e-04,39,0.5567,0.5134,0.5967,0.5436,0.1628,0.7678
66,0.27731,0.27731,0.00000,0.00000,1.00,0.25982,0.4820,0.6505,0.5759,0.7472,1.00e-04,39,0.5671,0.4912,0.6063,0.5402,0.1625,0.7513
