model=unet3d params=1.40M  train=800 val=100 global batch=8 (2 x 4 accum)  lr warmup 1e-06->1e-04 over 10 then cosine->1e-07  epochs=200 patience=20
epoch=066 train=0.24425 val=0.23559 IoU=0.7444 Dice=0.8535 P=0.809 R=0.904 lr=8.01e-05 64s
epoch=067 train=0.24116 val=0.23024 IoU=0.7565 Dice=0.8614 P=0.821 R=0.906 lr=7.94e-05 64s
epoch=068 train=0.23724 val=0.22792 IoU=0.7470 Dice=0.8552 P=0.807 R=0.909 lr=7.87e-05 64s
epoch=069 train=0.23348 val=0.22379 IoU=0.7516 Dice=0.8582 P=0.811 R=0.911 lr=7.81e-05 64s
epoch=070 train=0.22958 val=0.22176 IoU=0.7541 Dice=0.8598 P=0.822 R=0.901 lr=7.74e-05 64s
epoch=071 train=0.22759 val=0.21747 IoU=0.7566 Dice=0.8615 P=0.820 R=0.907 lr=7.67e-05 64s
epoch=072 train=0.22466 val=0.21400 IoU=0.7598 Dice=0.8635 P=0.824 R=0.907 lr=7.60e-05 64s
epoch=073 train=0.22085 val=0.21154 IoU=0.7585 Dice=0.8627 P=0.823 R=0.906 lr=7.53e-05 64s
epoch=074 train=0.21755 val=0.20981 IoU=0.7531 Dice=0.8592 P=0.817 R=0.906 lr=7.45e-05 64s
epoch=075 train=0.21638 val=0.20968 IoU=0.7459 Dice=0.8544 P=0.813 R=0.901 lr=7.38e-05 64s
epoch=076 train=0.21470 val=0.20293 IoU=0.7628 Dice=0.8654 P=0.828 R=0.906 lr=7.31e-05 64s
epoch=077 train=0.21029 val=0.19950 IoU=0.7641 Dice=0.8663 P=0.827 R=0.909 lr=7.24e-05 64s
epoch=078 train=0.20709 val=0.19718 IoU=0.7691 Dice=0.8695 P=0.840 R=0.901 lr=7.16e-05 64s
epoch=079 train=0.20482 val=0.19492 IoU=0.7619 Dice=0.8649 P=0.822 R=0.912 lr=7.09e-05 64s
epoch=080 train=0.20259 val=0.19221 IoU=0.7682 Dice=0.8689 P=0.836 R=0.904 lr=7.01e-05 64s
epoch=081 train=0.20047 val=0.19036 IoU=0.7676 Dice=0.8685 P=0.838 R=0.902 lr=6.94e-05 64s
epoch=082 train=0.19684 val=0.18683 IoU=0.7766 Dice=0.8742 P=0.850 R=0.900 lr=6.86e-05 64s
