run,history,data,history_rows,last_epoch,configured_epochs,best_recorded_val_iou,best_val_epoch,best_val_precision,best_val_recall,model,parameters_recorded,protocol_hash,metric_source,test_json_status
runs/model_upgrade_ddp_20260916/combined,runs/model_upgrade_ddp_20260916/combined/log.csv,data/dataset_reproduction_v2,20,20.0,20,0.8210566678266745,18,0.9073311112836357,0.8962105343734083,combined,40233171,8255016ce917b483cda0dc3471b5e984f086b23184965082bff4cee44a632af3,val_iou from CSV; checkpoint selection may instead use val_loss,unverified provenance; do not treat as in-domain automatically
runs/model_upgrade_pilot_20260916/architecture,runs/model_upgrade_pilot_20260916/architecture/log.csv,data/dataset_reproduction_v2,0,0,20,,,,,architecture,40233171,,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/model_upgrade_pilot_20260916/baseline,runs/model_upgrade_pilot_20260916/baseline/log.csv,data/dataset_reproduction_v2,0,0,20,,,,,baseline,40164233,,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/model_upgrade_pilot_20260916/combined,runs/model_upgrade_pilot_20260916/combined/log.csv,data/dataset_reproduction_v2,0,0,20,,,,,combined,40233171,,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/model_upgrade_pilot_20260916/loss,runs/model_upgrade_pilot_20260916/loss/log.csv,data/dataset_reproduction_v2,0,0,20,,,,,loss,40164233,,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/resnet3d_v1,runs/resnet3d_v1/log.csv,data/dataset_v1_parts,60,60.0,60,0.5128,52,0.5381,0.9161,resnet3d,,,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/resnet3d_v2,runs/resnet3d_v2/log.csv,data/dataset_reproduction_v2,60,60.0,60,0.6544,60,0.689,0.9286,resnet3d,,4caf323f71699d3195906146d8af908023d1ebf48f6070521a3d39a317105570,val_iou from CSV; checkpoint selection may instead use val_loss,unverified provenance; do not treat as in-domain automatically
runs/resnet3d_v2_oldrecipe,runs/resnet3d_v2_oldrecipe/log.csv,data/dataset_reproduction_v2,200,200.0,200,0.8047,199,0.8815,0.9023,resnet3d,,4caf323f71699d3195906146d8af908023d1ebf48f6070521a3d39a317105570,val_iou from CSV; checkpoint selection may instead use val_loss,unverified provenance; do not treat as in-domain automatically
runs/thebe_spatial_v3_context_both_stopped15,runs/thebe_spatial_v3_context_both_stopped15/history.json,/hdd1/hukaixiao/projects/faultsyn3d/data/thebe_spatial_v3,15,15.0,100,0.3191049670952408,14,0.4711009742757456,0.49724578335032565,context_grid_maxvit3d,32449615,f8063803bc0db36222cad249d0a181603baa7dc74889ce5d1262999a2b889761,full_val; fast_val excluded,absent
runs/thebe_spatial_v3_dbvit,runs/thebe_spatial_v3_dbvit/history.json,/hdd1/hukaixiao/projects/faultsyn3d/data/thebe_spatial_v3,10,10.0,100,0.2465896828669001,9,0.4195336277905515,0.37429064179215044,dbvit,7867925,f8063803bc0db36222cad249d0a181603baa7dc74889ce5d1262999a2b889761,full_val; fast_val excluded,absent
runs/thebe_spatial_v3_maxvit_tiny,runs/thebe_spatial_v3_maxvit_tiny/history.json,/hdd1/hukaixiao/projects/faultsyn3d/data/thebe_spatial_v3,100,100.0,100,0.39536682127158124,47,0.6130752114402885,0.5268216858558215,maxvit3d,40164233,f8063803bc0db36222cad249d0a181603baa7dc74889ce5d1262999a2b889761,full_val; fast_val excluded,absent
runs/thebe_spatial_v3_mv2d_tiny_ad,runs/thebe_spatial_v3_mv2d_tiny_ad/history.json,/hdd1/hukaixiao/projects/faultsyn3d/data/thebe_spatial_v3,24,24.0,100,0.37740265471217366,16,0.4974327548205198,0.6099911990453755,maxvit2d_adapter3d,15027081,f8063803bc0db36222cad249d0a181603baa7dc74889ce5d1262999a2b889761,full_val; fast_val excluded,absent
runs/thebe_spatial_v3_unet_l,runs/thebe_spatial_v3_unet_l/history.json,/hdd1/hukaixiao/projects/faultsyn3d/data/thebe_spatial_v3,100,100.0,100,0.3762896080284827,47,0.5939206503868906,0.5066367013442927,unet3d,9643495,f8063803bc0db36222cad249d0a181603baa7dc74889ce5d1262999a2b889761,full_val; fast_val excluded,absent
runs/thebe_spatial_v3_unet_l_smoke,runs/thebe_spatial_v3_unet_l_smoke/history.json,/hdd1/hukaixiao/projects/faultsyn3d/data/thebe_spatial_v3,1,1.0,100,,,,,unspecified,9643495,f8063803bc0db36222cad249d0a181603baa7dc74889ce5d1262999a2b889761,full_val; fast_val excluded,absent
runs/thebe_spatial_v3_unet_l_trial,runs/thebe_spatial_v3_unet_l_trial/history.json,/hdd1/hukaixiao/projects/faultsyn3d/data/thebe_spatial_v3,30,30.0,100,0.34916154811484273,30,0.5333762651936207,0.5027261030747676,unspecified,9643495,f8063803bc0db36222cad249d0a181603baa7dc74889ce5d1262999a2b889761,full_val; fast_val excluded,absent
