epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage,val_iou_intersecting_conjugate
46,0.28700,0.28700,0.00000,0.00000,1.00,0.26718,0.4662,0.6359,0.5540,0.7462,1.00e-04,48,0.5184,0.4924,0.5596,0.5276,0.1541,0.7336
47,0.28549,0.28549,0.00000,0.00000,1.00,0.26584,0.4701,0.6395,0.5652,0.7364,1.00e-04,49,0.5348,0.4697,0.5421,0.5420,0.1558,0.7366
48,0.28561,0.28561,0.00000,0.00000,1.00,0.26340,0.4691,0.6387,0.5550,0.7520,1.00e-04,48,0.5439,0.4860,0.5568,0.5378,0.1546,0.7351
49,0.28394,0.28394,0.00000,0.00000,1.00,0.26224,0.4751,0.6441,0.5858,0.7153,1.00e-04,48,0.5298,0.4907,0.5566,0.5428,0.1637,0.7362
50,0.27865,0.27865,0.00000,0.00000,1.00,0.25593,0.4824,0.6509,0.5727,0.7537,1.00e-04,48,0.5336,0.5412,0.5714,0.5404,0.1655,0.7360
51,0.28081,0.28081,0.00000,0.00000,1.00,0.27096,0.4634,0.6333,0.5503,0.7458,1.00e-04,49,0.4875,0.4483,0.5306,0.5047,0.1690,0.7358
52,0.27739,0.27739,0.00000,0.00000,1.00,0.25541,0.4867,0.6547,0.5985,0.7225,1.00e-04,48,0.5304,0.5335,0.5587,0.5475,0.1703,0.7430
53,0.27568,0.27568,0.00000,0.00000,1.00,0.27319,0.4734,0.6426,0.5959,0.6972,1.00e-04,48,0.5119,0.4738,0.5523,0.5197,0.1325,0.7424
54,0.27796,0.27796,0.00000,0.00000,1.00,0.26027,0.4807,0.6493,0.5727,0.7495,1.00e-04,48,0.5330,0.5349,0.5467,0.5593,0.1517,0.7387
55,0.27824,0.27824,0.00000,0.00000,1.00,0.25368,0.4765,0.6455,0.5612,0.7596,1.00e-04,48,0.5509,0.5033,0.5645,0.5425,0.1709,0.7480
56,0.27326,0.27326,0.00000,0.00000,1.00,0.26646,0.4830,0.6514,0.5920,0.7240,1.00e-04,48,0.5064,0.5092,0.5411,0.5178,0.1536,0.7382
57,0.27407,0.27407,0.00000,0.00000,1.00,0.25181,0.4922,0.6597,0.5897,0.7485,1.00e-04,48,0.5248,0.5439,0.5505,0.5592,0.1777,0.7459
58,0.27023,0.27023,0.00000,0.00000,1.00,0.25581,0.4883,0.6562,0.5866,0.7444,1.00e-04,49,0.5419,0.5077,0.5721,0.5208,0.1643,0.7514
59,0.26871,0.26871,0.00000,0.00000,1.00,0.25645,0.4872,0.6552,0.5959,0.7275,1.00e-04,49,0.5504,0.5099,0.5650,0.5482,0.1531,0.7508
60,0.27123,0.27123,0.00000,0.00000,1.00,0.25604,0.4748,0.6439,0.5747,0.7322,1.00e-04,48,0.5535,0.5017,0.5423,0.5517,0.1628,0.7498
61,0.26470,0.26470,0.00000,0.00000,1.00,0.25155,0.4943,0.6616,0.6006,0.7364,1.00e-04,48,0.5611,0.5239,0.5561,0.5517,0.1692,0.7477
62,0.26745,0.26745,0.00000,0.00000,1.00,0.24854,0.4931,0.6605,0.5932,0.7450,1.00e-04,48,0.5444,0.5361,0.5757,0.5610,0.1741,0.7479
63,0.26810,0.26810,0.00000,0.00000,1.00,0.24960,0.4874,0.6554,0.5805,0.7524,1.00e-04,48,0.5524,0.5255,0.5504,0.5612,0.1765,0.7414
64,0.26809,0.26809,0.00000,0.00000,1.00,0.25050,0.4927,0.6602,0.5936,0.7435,1.00e-04,48,0.5354,0.5239,0.5759,0.5481,0.1748,0.7427
65,0.26398,0.26398,0.00000,0.00000,1.00,0.25629,0.4888,0.6566,0.5951,0.7324,1.00e-04,48,0.5385,0.4788,0.5651,0.5480,0.1649,0.7465
66,0.26487,0.26487,0.00000,0.00000,1.00,0.24928,0.4854,0.6536,0.5779,0.7521,1.00e-04,48,0.5624,0.5279,0.5656,0.5517,0.1700,0.7352
67,0.26608,0.26608,0.00000,0.00000,1.00,0.24982,0.4946,0.6618,0.5946,0.7461,1.00e-04,48,0.5438,0.4897,0.5642,0.5587,0.1829,0.7497
68,0.26221,0.26221,0.00000,0.00000,1.00,0.24407,0.5015,0.6680,0.5967,0.7588,1.00e-04,50,0.5724,0.5406,0.5903,0.5508,0.1741,0.7463
69,0.26087,0.26087,0.00000,0.00000,1.00,0.25209,0.4861,0.6542,0.5832,0.7451,1.00e-04,49,0.5174,0.5259,0.5686,0.5306,0.1787,0.7507
70,0.26113,0.26113,0.00000,0.00000,1.00,0.25560,0.4900,0.6577,0.5912,0.7411,1.00e-04,48,0.5086,0.4939,0.5670,0.5276,0.1769,0.7543
71,0.26186,0.26186,0.00000,0.00000,1.00,0.24532,0.5065,0.6724,0.6170,0.7388,1.00e-04,48,0.5651,0.5527,0.5699,0.5700,0.1700,0.7543
72,0.26035,0.26035,0.00000,0.00000,1.00,0.25408,0.4946,0.6619,0.5915,0.7513,1.00e-04,48,0.5357,0.5217,0.5716,0.5603,0.1550,0.7513
73,0.25706,0.25706,0.00000,0.00000,1.00,0.24028,0.5061,0.6721,0.6203,0.7333,1.00e-04,48,0.5740,0.5452,0.6065,0.5765,0.1756,0.7569
74,0.26121,0.26121,0.00000,0.00000,1.00,0.26784,0.4715,0.6408,0.5776,0.7195,1.00e-04,48,0.4878,0.4722,0.5415,0.5072,0.1600,0.7565
75,0.25623,0.25623,0.00000,0.00000,1.00,0.24924,0.5045,0.6706,0.6219,0.7277,1.00e-04,49,0.5592,0.5286,0.5775,0.5622,0.1650,0.7519
76,0.25855,0.25855,0.00000,0.00000,1.00,0.24654,0.5012,0.6677,0.6135,0.7324,1.00e-04,48,0.5333,0.5368,0.5870,0.5587,0.1799,0.7463
77,0.25509,0.25509,0.00000,0.00000,1.00,0.23958,0.5109,0.6763,0.6111,0.7570,1.00e-04,48,0.5704,0.5380,0.5989,0.5653,0.1837,0.7590
78,0.25360,0.25360,0.00000,0.00000,1.00,0.24277,0.5135,0.6786,0.6207,0.7483,1.00e-04,49,0.5676,0.5284,0.5942,0.5627,0.1759,0.7624
79,0.25417,0.25417,0.00000,0.00000,1.00,0.23806,0.5231,0.6869,0.6321,0.7521,1.00e-04,49,0.5808,0.5600,0.6084,0.5787,0.1770,0.7589
80,0.25533,0.25533,0.00000,0.00000,1.00,0.24752,0.4966,0.6636,0.6021,0.7391,1.00e-04,49,0.5702,0.5180,0.5853,0.5559,0.1662,0.7535
81,0.25198,0.25198,0.00000,0.00000,1.00,0.24653,0.5040,0.6702,0.6075,0.7473,1.00e-04,49,0.5528,0.5842,0.5989,0.5820,0.1523,0.7560
82,0.25109,0.25109,0.00000,0.00000,1.00,0.24982,0.5028,0.6692,0.6181,0.7295,1.00e-04,48,0.5285,0.5393,0.5738,0.5579,0.1679,0.7628
83,0.25250,0.25250,0.00000,0.00000,1.00,0.24081,0.5163,0.6810,0.6221,0.7522,1.00e-04,48,0.5779,0.5464,0.5906,0.5703,0.1741,0.7583
84,0.25309,0.25309,0.00000,0.00000,1.00,0.24416,0.5162,0.6809,0.6271,0.7447,1.00e-04,48,0.5774,0.5303,0.6041,0.5684,0.1616,0.7653
85,0.24909,0.24909,0.00000,0.00000,1.00,0.23921,0.5159,0.6806,0.6222,0.7512,1.00e-04,48,0.5660,0.5693,0.6010,0.5603,0.1793,0.7597
86,0.25348,0.25348,0.00000,0.00000,1.00,0.25045,0.4922,0.6597,0.5867,0.7535,1.00e-04,49,0.5245,0.5044,0.5820,0.5318,0.1798,0.7599
87,0.25329,0.25329,0.00000,0.00000,1.00,0.23470,0.5195,0.6838,0.6167,0.7671,1.00e-04,48,0.5806,0.5631,0.6176,0.5553,0.1870,0.7610
88,0.24862,0.24862,0.00000,0.00000,1.00,0.23404,0.5170,0.6816,0.6160,0.7628,1.00e-04,48,0.5919,0.5775,0.6007,0.5915,0.1778,0.7648
89,0.24637,0.24637,0.00000,0.00000,1.00,0.23758,0.5105,0.6759,0.6079,0.7611,1.00e-04,49,0.5816,0.5679,0.6051,0.5862,0.1727,0.7630
90,0.25162,0.25162,0.00000,0.00000,1.00,0.24841,0.4961,0.6632,0.6046,0.7343,1.00e-04,48,0.5518,0.4964,0.5971,0.5503,0.1654,0.7611
91,0.24683,0.24683,0.00000,0.00000,1.00,0.23905,0.5124,0.6776,0.6097,0.7625,1.00e-04,48,0.5838,0.5696,0.5959,0.5833,0.1690,0.7676
92,0.24736,0.24736,0.00000,0.00000,1.00,0.23560,0.5226,0.6864,0.6282,0.7566,1.00e-04,48,0.5974,0.5631,0.6206,0.5698,0.1693,0.7658
93,0.24526,0.24526,0.00000,0.00000,1.00,0.23766,0.5245,0.6881,0.6325,0.7543,1.00e-04,48,0.5675,0.5689,0.6083,0.5797,0.1746,0.7660
94,0.24515,0.24515,0.00000,0.00000,1.00,0.24501,0.5093,0.6749,0.6170,0.7448,1.00e-04,48,0.5666,0.5282,0.5811,0.5591,0.1728,0.7610
95,0.24591,0.24591,0.00000,0.00000,1.00,0.23638,0.5126,0.6778,0.6164,0.7527,1.00e-04,48,0.5964,0.5640,0.5962,0.5816,0.1731,0.7734
96,0.24412,0.24412,0.00000,0.00000,1.00,0.23659,0.5159,0.6807,0.6244,0.7480,1.00e-04,48,0.5841,0.5574,0.6256,0.5730,0.1742,0.7660
97,0.24475,0.24475,0.00000,0.00000,1.00,0.23395,0.5259,0.6893,0.6423,0.7436,1.00e-04,48,0.5692,0.5630,0.6172,0.5838,0.1844,0.7691
98,0.24246,0.24246,0.00000,0.00000,1.00,0.23124,0.5150,0.6798,0.6027,0.7797,1.00e-04,48,0.5698,0.5776,0.6047,0.5664,0.1983,0.7672
99,0.24306,0.24306,0.00000,0.00000,1.00,0.23477,0.5250,0.6885,0.6374,0.7485,1.00e-04,49,0.5894,0.5825,0.6098,0.5732,0.1758,0.7721
100,0.24369,0.24369,0.00000,0.00000,1.00,0.24634,0.5146,0.6795,0.6347,0.7311,1.00e-04,48,0.5300,0.4975,0.6073,0.5265,0.1877,0.7698
101,0.23921,0.23921,0.00000,0.00000,1.00,0.24269,0.5237,0.6874,0.6438,0.7374,1.00e-04,48,0.5523,0.5508,0.5582,0.5495,0.1849,0.7719
102,0.24205,0.24205,0.00000,0.00000,1.00,0.23058,0.5250,0.6885,0.6207,0.7730,1.00e-04,48,0.5813,0.5840,0.6090,0.5843,0.1900,0.7660
103,0.24254,0.24254,0.00000,0.00000,1.00,0.25265,0.4987,0.6655,0.6077,0.7355,1.00e-04,49,0.5143,0.5465,0.5175,0.5429,0.1749,0.7752
104,0.24110,0.24110,0.00000,0.00000,1.00,0.23374,0.5275,0.6907,0.6403,0.7497,1.00e-04,48,0.5715,0.5691,0.6091,0.5882,0.1833,0.7690
105,0.24031,0.24031,0.00000,0.00000,1.00,0.23262,0.5256,0.6891,0.6326,0.7566,1.00e-04,48,0.5913,0.5620,0.6140,0.5789,0.1821,0.7730
106,0.24167,0.24167,0.00000,0.00000,1.00,0.22894,0.5254,0.6888,0.6334,0.7549,1.00e-04,48,0.6140,0.5739,0.6173,0.5899,0.1822,0.7671
107,0.23911,0.23911,0.00000,0.00000,1.00,0.24834,0.5023,0.6687,0.6048,0.7477,1.00e-04,48,0.5208,0.5328,0.5860,0.5204,0.1771,0.7767
108,0.24223,0.24223,0.00000,0.00000,1.00,0.22596,0.5286,0.6916,0.6286,0.7687,1.00e-04,48,0.5912,0.5722,0.6414,0.5830,0.1948,0.7759
109,0.23816,0.23816,0.00000,0.00000,1.00,0.23286,0.5253,0.6888,0.6366,0.7503,1.00e-04,48,0.5788,0.5786,0.6127,0.5579,0.1863,0.7711
110,0.23602,0.23602,0.00000,0.00000,1.00,0.23163,0.5336,0.6959,0.6611,0.7345,1.00e-04,48,0.5899,0.5602,0.6383,0.5794,0.1802,0.7738
111,0.23569,0.23569,0.00000,0.00000,1.00,0.23719,0.5182,0.6826,0.6231,0.7547,1.00e-04,48,0.5638,0.5211,0.6075,0.5568,0.1935,0.7622
112,0.23733,0.23733,0.00000,0.00000,1.00,0.23321,0.5308,0.6935,0.6455,0.7493,1.00e-04,48,0.5839,0.5298,0.6152,0.5825,0.1886,0.7762
113,0.23678,0.23678,0.00000,0.00000,1.00,0.23266,0.5224,0.6863,0.6242,0.7620,1.00e-04,48,0.5759,0.5565,0.6246,0.5604,0.1890,0.7737
114,0.23634,0.23634,0.00000,0.00000,1.00,0.24079,0.5203,0.6845,0.6356,0.7415,1.00e-04,48,0.5273,0.5150,0.5971,0.5412,0.1980,0.7772
115,0.23682,0.23682,0.00000,0.00000,1.00,0.23063,0.5285,0.6915,0.6386,0.7540,1.00e-04,48,0.5638,0.5593,0.6260,0.5633,0.2018,0.7713
116,0.23737,0.23737,0.00000,0.00000,1.00,0.22499,0.5419,0.7029,0.6504,0.7646,1.00e-04,48,0.6007,0.5474,0.6400,0.5868,0.2020,0.7811
117,0.23414,0.23414,0.00000,0.00000,1.00,0.22268,0.5354,0.6974,0.6378,0.7692,1.00e-04,48,0.6146,0.5808,0.6129,0.5871,0.2078,0.7754
118,0.23798,0.23798,0.00000,0.00000,1.00,0.23586,0.5197,0.6840,0.6149,0.7705,1.00e-04,48,0.5504,0.5569,0.6301,0.5622,0.1841,0.7715
119,0.23431,0.23431,0.00000,0.00000,1.00,0.22759,0.5278,0.6909,0.6278,0.7682,1.00e-04,48,0.5784,0.5892,0.6212,0.5830,0.1945,0.7741
120,0.23419,0.23419,0.00000,0.00000,1.00,0.22493,0.5410,0.7022,0.6458,0.7693,1.00e-04,49,0.5685,0.6111,0.5913,0.5965,0.2090,0.7824
