M0 CompactMaxViT 9,489,043 parameters; global batch 8; start epoch 1
/hdd1/hukaixiao/projects/faultsyn3d/train/train_compact_maxvit_ddp.py:217: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  print(f'epoch={epoch:03d} step={step+1}/{len(dl)} loss={float(loss):.5f}',flush=True)
EPOCH 014/200: train=0.23636 val=0.20864 IoU=0.645667 P=0.7332 R=0.8440 83.3s peak=7814MiB
epoch=015 step=1/100 loss=0.19531
epoch=015 step=10/100 loss=0.27346
epoch=015 step=20/100 loss=0.25423
epoch=015 step=30/100 loss=0.22047
epoch=015 step=40/100 loss=0.19844
epoch=015 step=50/100 loss=0.24626
epoch=015 step=60/100 loss=0.21102
epoch=015 step=70/100 loss=0.24268
epoch=015 step=80/100 loss=0.20628
epoch=015 step=90/100 loss=0.23433
epoch=015 step=100/100 loss=0.20620
EPOCH 015/200: train=0.21864 val=0.19544 IoU=0.668166 P=0.7875 R=0.8151 83.6s peak=7814MiB
epoch=016 step=1/100 loss=0.21181
epoch=016 step=10/100 loss=0.16489
epoch=016 step=20/100 loss=0.34869
epoch=016 step=30/100 loss=0.21930
epoch=016 step=40/100 loss=0.18266
epoch=016 step=50/100 loss=0.27289
epoch=016 step=60/100 loss=0.14744
epoch=016 step=70/100 loss=0.23144
epoch=016 step=80/100 loss=0.18366
epoch=016 step=90/100 loss=0.19732
epoch=016 step=100/100 loss=0.15206
EPOCH 016/200: train=0.20604 val=0.18197 IoU=0.678491 P=0.7849 R=0.8335 83.6s peak=7814MiB
epoch=017 step=1/100 loss=0.17946
epoch=017 step=10/100 loss=0.19973
epoch=017 step=20/100 loss=0.17521
epoch=017 step=30/100 loss=0.24031
epoch=017 step=40/100 loss=0.17008
epoch=017 step=50/100 loss=0.13915
epoch=017 step=60/100 loss=0.16947
epoch=017 step=70/100 loss=0.11154
epoch=017 step=80/100 loss=0.18665
epoch=017 step=90/100 loss=0.16497
epoch=017 step=100/100 loss=0.21668
EPOCH 017/200: train=0.19509 val=0.16878 IoU=0.686978 P=0.7830 R=0.8485 83.2s peak=7814MiB
epoch=018 step=1/100 loss=0.19329
epoch=018 step=10/100 loss=0.20678
epoch=018 step=20/100 loss=0.19117
epoch=018 step=30/100 loss=0.16046
epoch=018 step=40/100 loss=0.40866
epoch=018 step=50/100 loss=0.19344
epoch=018 step=60/100 loss=0.23383
epoch=018 step=70/100 loss=0.17878
epoch=018 step=80/100 loss=0.20759
epoch=018 step=90/100 loss=0.23047
epoch=018 step=100/100 loss=0.15558
EPOCH 018/200: train=0.18716 val=0.16027 IoU=0.702198 P=0.8208 R=0.8293 83.1s peak=7814MiB
epoch=019 step=1/100 loss=0.16040
epoch=019 step=10/100 loss=0.17885
epoch=019 step=20/100 loss=0.20445
epoch=019 step=30/100 loss=0.25975
epoch=019 step=40/100 loss=0.20998
epoch=019 step=50/100 loss=0.16387
epoch=019 step=60/100 loss=0.17738
epoch=019 step=70/100 loss=0.14528
