epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
65,0.11625,0.10662,0.04401,0.10457,1.00,0.09921,0.7588,0.8629,0.8542,0.8717,8.07e-05,50,0.8395,0.7456,0.7548,0.7844,0.6423
66,0.11608,0.10644,0.04368,0.10543,1.00,0.09268,0.7752,0.8733,0.8689,0.8778,8.01e-05,50,0.8751,0.7530,0.7630,0.7954,0.6599
67,0.11500,0.10535,0.04314,0.10669,1.00,0.09384,0.7732,0.8721,0.8823,0.8621,7.94e-05,50,0.8770,0.7467,0.7596,0.7968,0.6546
68,0.11407,0.10455,0.04296,0.10446,1.00,0.09014,0.7811,0.8771,0.8782,0.8759,7.87e-05,50,0.8829,0.7583,0.7680,0.8021,0.6643
69,0.11230,0.10318,0.04199,0.09842,1.00,0.08986,0.7814,0.8773,0.8825,0.8721,7.81e-05,50,0.8841,0.7601,0.7689,0.8017,0.6627
70,0.11074,0.10145,0.04148,0.10287,1.00,0.08993,0.7814,0.8773,0.8844,0.8703,7.74e-05,50,0.8852,0.7586,0.7700,0.8002,0.6632
71,0.11058,0.10134,0.04137,0.10194,1.00,0.09480,0.7692,0.8695,0.8713,0.8677,7.67e-05,51,0.8678,0.7547,0.7671,0.7931,0.6338
72,0.11138,0.10207,0.04201,0.10217,1.00,0.08841,0.7844,0.8792,0.8853,0.8732,7.60e-05,50,0.8864,0.7610,0.7727,0.8071,0.6644
73,0.11002,0.10083,0.04115,0.10161,1.00,0.08825,0.7848,0.8794,0.8934,0.8658,7.53e-05,50,0.8853,0.7600,0.7719,0.8077,0.6691
74,0.10951,0.10039,0.04107,0.10037,1.00,0.09109,0.7774,0.8747,0.8847,0.8650,7.45e-05,50,0.8742,0.7595,0.7691,0.7967,0.6581
75,0.10863,0.09948,0.04092,0.10123,1.00,0.08831,0.7836,0.8787,0.8806,0.8768,7.38e-05,50,0.8858,0.7599,0.7704,0.8051,0.6674
76,0.10941,0.10025,0.04134,0.10062,1.00,0.09634,0.7632,0.8657,0.8702,0.8612,7.31e-05,50,0.8453,0.7443,0.7561,0.7907,0.6495
77,0.10889,0.09960,0.04095,0.10385,1.00,0.08992,0.7785,0.8755,0.8629,0.8885,7.24e-05,50,0.8782,0.7520,0.7653,0.8028,0.6649
78,0.10728,0.09824,0.04015,0.10043,1.00,0.08828,0.7835,0.8786,0.8916,0.8660,7.16e-05,50,0.8828,0.7612,0.7730,0.8084,0.6617
79,0.10618,0.09726,0.03957,0.09917,1.00,0.08659,0.7860,0.8802,0.8691,0.8915,7.09e-05,50,0.8889,0.7621,0.7769,0.8101,0.6641
80,0.10507,0.09629,0.03932,0.09688,1.00,0.08513,0.7898,0.8826,0.8899,0.8753,7.01e-05,50,0.8868,0.7697,0.7765,0.8150,0.6720
81,0.10520,0.09636,0.03940,0.09805,1.00,0.08526,0.7892,0.8822,0.8791,0.8853,6.94e-05,50,0.8879,0.7627,0.7773,0.8124,0.6764
82,0.10376,0.09520,0.03862,0.09398,1.00,0.08457,0.7914,0.8836,0.8918,0.8755,6.86e-05,50,0.8878,0.7676,0.7799,0.8168,0.6742
83,0.10335,0.09484,0.03881,0.09265,1.00,0.08464,0.7909,0.8833,0.8885,0.8781,6.78e-05,50,0.8920,0.7666,0.7797,0.8146,0.6718
84,0.10238,0.09392,0.03810,0.09299,1.00,0.08605,0.7873,0.8810,0.8854,0.8767,6.70e-05,50,0.8847,0.7668,0.7778,0.8135,0.6639
